Country,Year,total_pop,pop_dens_sq_km,urban_pop_perc,rural_pop_perc,elect_access_pop,ren_energy_cons_perc,clean_fuel_tech_cook_pop,co2_emiss_excl_lulucf,Gini coefficient (2021 prices),perceptions of criminality,homicide rate,police rate,incarceration rate,Access to small arms,intensity of internal conflict,violent demonstrations,Violent crime,Political instability,Political Terror Scale,weapons imports,terrorism impact,deaths from internal conflict,internal conflicts fought,military expenditure (% gdp),armed services personnel rate,un peacekeeping funding,nuclear and heavy weapons,weapons exports,refugees and idps,Neighbouring countries relations,external conflicts fought,deaths From external conflict,overall score,internal peace,external peace,safety and security,ongoing conflict,militarisation,"Agriculture, forestry, and fishing, value added (% of GDP)",Adjusted savings: natural resources depletion (% of GNI),Adjusted savings: net forest depletion (% of GNI),Access to electricity (% of population),Adjusted savings: energy depletion (% of GNI),Adjusted savings: carbon dioxide damage (% of GNI),Access to clean fuels and technologies for cooking (% of population),"Agriculture, forestry, and fishing, value added (annual % growth)",Cluster
Japan,2014.0,127327461.53846154,349.3208821356969,91.08615384615383,8.913846153846155,100.0,5.907692307692307,100.0,1216.0272538461538,0.3230356861538462,2.3076923076923075,1.1753076923076924,2.0017692307692307,1.391230769230769,1.0,1.0,1.5384615384615385,1.0,1.0,1.1153846153846154,1.2750769230769232,1.251,1.0,1.0,1.4566153846153846,1.293076923076923,1.5006153846153845,3.629846153846154,1.0032307692307691,1.0,3.0,1.0038461538461538,1.0,1.4391538461538462,1.2508461538461537,1.7216153846153845,1.3346153846153848,1.4033076923076924,1.6440769230769232,1.0729438828991393,0.011744597407008523,0.0,100.0,0.006523495714094323,0.7284741228925277,100.0,-2.2843028975525668,0
Latvia,2014.0,2010596.923076923,32.31057058173004,67.99130769230769,32.00869230769231,99.94615384615385,38.95384615384615,100.0,7.863184615384616,0.3532292415384616,2.853846153846154,3.1152307692307692,3.1904615384615385,3.090384615384615,2.0,1.0769230769230769,1.1923076923076923,1.8076923076923077,1.5480769230769231,1.5,1.6453846153846154,1.0,1.0,1.0,1.682,1.3992307692307693,1.2063076923076923,1.0027692307692306,1.0,1.0067692307692306,2.4615384615384617,1.698076923076923,1.0,1.6615384615384616,1.8314615384615385,1.4070769230769231,2.0262307692307693,1.3737692307692306,1.4043846153846151,3.594719471998821,0.0502745846764068,0.0,99.94615384615385,0.0502745846764068,0.8483894596811179,100.0,2.426224279665272,0
Lithuania,2014.0,2950498.6153846155,47.09137532027114,67.2183076923077,32.78169230769231,99.86923076923077,27.207692307692305,100.0,14.005246153846153,0.35928330538461534,3.2,3.1470000000000002,2.615923076923077,3.1521538461538463,2.3846153846153846,1.0,1.4615384615384615,2.0,1.6153846153846154,1.2307692307692308,1.4863846153846154,1.0292307692307692,1.0,1.0,1.5874615384615385,1.7284615384615383,2.1074615384615387,1.0070769230769232,1.0896153846153847,1.003153846153846,2.4615384615384617,1.6903846153846156,1.0,1.708846153846154,1.8503846153846153,1.4960769230769233,2.039230769230769,1.3575384615384616,1.6036923076923075,3.3094726550260245,0.043205653164834094,0.0,99.86923076923077,0.043205653164834094,0.8738599547704786,100.0,2.844270302164226,0
Netherlands,2014.0,16909875.53846154,501.8299668151075,89.35807692307692,10.641923076923076,100.0,5.915384615384616,100.0,168.0987923076923,0.28111438615384615,1.9538461538461538,1.384076923076923,2.4762307692307695,1.6044615384615386,2.0,1.0,1.7307692307692308,2.0,1.0,1.0,1.7293076923076924,1.210923076923077,1.0,1.0203846153846154,1.5918461538461537,1.3429230769230769,1.4466153846153846,1.4477692307692307,5.0,1.0,1.0,1.7961538461538462,1.0,1.527923076923077,1.4575384615384617,1.6336923076923076,1.5074615384615386,1.0752307692307692,2.209769230769231,1.757012796982894,0.503367609112166,0.0,100.0,0.503367609112166,0.6170366692086879,100.0,1.77484901117221,0
Norway,2014.0,5108775.923076923,13.992740131306531,80.69500000000001,19.305,100.0,57.63076923076923,100.0,45.744,0.26899225384615383,1.580769230769231,1.359923076923077,1.8049230769230769,1.5540769230769231,1.7307692307692308,1.0,1.1153846153846154,1.0384615384615385,1.0,1.0,4.297769230769231,2.323846153846154,1.0,1.0,1.672153846153846,1.699153846153846,1.3983846153846156,1.2896153846153846,2.3516923076923075,1.0,1.3076923076923077,1.676923076923077,1.0,1.4055384615384614,1.4037692307692307,1.4082307692307692,1.306076923076923,1.123923076923077,2.014692307692308,1.5180079485950406,5.686819395501552,0.0,100.0,5.683737637343184,0.29462664450825177,100.0,2.0263720616605227,0
Poland,2014.0,38020702.0,124.16666618385354,60.467461538461535,39.532538461538465,99.98461538461538,11.669230769230769,100.0,317.2007461538461,0.31713981461538465,2.3346153846153848,1.5113076923076922,2.291230769230769,2.614846153846154,2.0,1.3076923076923077,1.8846153846153846,2.0,1.6346153846153846,1.4615384615384615,1.5106153846153845,1.0,1.0,1.0,1.8880000000000001,1.4337692307692307,1.361846153846154,1.324153846153846,1.2322307692307695,1.0014615384615384,2.076923076923077,1.7403846153846154,1.0,1.567076923076923,1.6596153846153845,1.4283846153846154,1.7590000000000001,1.3467692307692307,1.5327692307692309,2.768260896788903,0.4459720991113334,0.0,99.98461538461538,0.1608273148655281,2.0215978578096085,100.0,0.8011711910697209,0
Portugal,2014.0,10421636.846153846,113.78559212434301,62.89576923076923,37.10423076923077,100.0,27.45384615384615,100.0,51.011353846153845,0.3515050646153846,2.373076923076923,1.535076923076923,3.261,1.9663846153846156,1.0,1.0,1.4038461538461537,1.0384615384615385,1.2596153846153846,1.6153846153846154,2.0300000000000002,1.0,1.0,1.0,1.5851538461538461,1.538769230769231,1.391846153846154,1.2246153846153847,1.3436153846153844,1.0,1.0,1.6346153846153846,1.0,1.376,1.4806153846153847,1.2186923076923077,1.6119999999999999,1.058076923076923,1.4,1.9655496339198815,0.0920623102892468,0.032808590556386207,100.0,0.02997516497804483,0.739815175157282,100.0,0.47206169174435986,0
Romania,2014.0,19882148.769230768,86.4214864579069,53.912615384615385,46.087384615384615,98.44615384615385,22.976923076923075,100.0,83.24436923076922,0.35712511153846155,2.8346153846153848,1.6972307692307693,2.2576923076923077,2.0774615384615385,3.0,1.0,2.0961538461538463,2.0,1.6442307692307692,2.1923076923076925,1.2956153846153846,1.0732307692307692,1.0,1.0,1.7140769230769233,1.532,1.9586153846153846,1.1878461538461538,1.1378461538461537,1.0044615384615385,1.0,1.9711538461538463,1.0,1.5703076923076924,1.7709230769230768,1.2693846153846153,1.8851538461538462,1.0893076923076923,1.7045384615384616,4.966235466672587,0.8831557707979787,0.0,98.44615384615385,0.8724766987016322,1.297278424311133,100.0,3.1795754533379204,0
Slovak Republic,2014.0,5419126.769230769,112.69860194834538,54.17361538461538,45.82638461538462,100.0,12.169230769230769,100.0,36.15591538461538,0.2574774738461538,2.8076923076923075,1.706846153846154,2.993153846153846,2.455230769230769,1.7692307692307692,1.8461538461538463,1.6346153846153846,2.0,1.2884615384615385,1.4230769230769231,1.0722307692307693,1.0423076923076924,1.0,1.0,1.5989230769230771,1.457230769230769,1.4858461538461538,1.0314615384615384,1.1995384615384617,1.0032307692307691,2.0,1.6807692307692308,1.0,1.5766153846153845,1.7173076923076922,1.3657692307692306,1.807,1.434076923076923,1.3663076923076924,1.9506451597565784,0.01988792857694697,0.0,100.0,0.011879218174429138,1.1478865106986416,100.0,4.715605040601391,0
Slovenia,2014.0,2061627.8461538462,102.35647537925853,53.595,46.405,100.0,20.638461538461538,100.0,15.586292307692307,0.24863540384615385,1.7576923076923079,1.3576923076923075,2.8836923076923076,1.5263076923076921,1.0,2.0,1.4230769230769231,1.0,1.0192307692307692,1.0,1.2452307692307691,1.0,1.0,1.0,1.5813076923076925,1.5526153846153847,1.8300769230769232,1.0085384615384616,1.0403846153846155,1.0003846153846152,2.0,1.4326923076923077,1.0,1.3664615384615384,1.3736153846153845,1.3557692307692308,1.3612307692307692,1.4423076923076923,1.2686153846153847,1.8488864604719037,0.194175302801366,0.17349159190989077,100.0,0.02068371089147536,0.9919945760132749,100.0,0.9074167173402938,0
Spain,2014.0,46640846.461538464,93.3464244104761,79.37846153846155,20.62153846153846,100.0,15.546153846153846,100.0,276.96756923076924,0.3524547453846154,2.169230769230769,1.3930000000000002,2.8224615384615386,2.138692307692308,2.0,1.5384615384615385,2.6923076923076925,2.0,1.4807692307692308,1.8076923076923077,1.3217692307692308,1.9055384615384614,1.0646153846153845,1.0486923076923078,1.4776923076923079,1.4403846153846156,1.7523076923076923,1.8815384615384616,2.834230769230769,1.0,1.0,1.603846153846154,1.0,1.646153846153846,1.7735384615384615,1.4549999999999998,1.8825384615384615,1.1816923076923076,1.8899230769230768,2.558854520669014,0.011206816931336785,0.0,100.0,0.0016245699165581462,0.6408378602804418,100.0,0.8445192011874723,0
Sweden,2014.0,9749912.76923077,23.936691391677723,86.267,13.733,100.0,49.23846153846154,100.0,45.360092307692305,0.28565187076923076,2.069230769230769,1.494,2.015076923076923,1.5328461538461537,2.0,1.0,1.4615384615384615,1.1538461538461537,1.0,1.0,1.487923076923077,1.4653076923076922,1.0153846153846153,1.0486923076923078,1.5813846153846154,1.3418461538461537,1.171769230769231,1.4584615384615385,4.698307692307693,1.0,1.3076923076923077,1.5826923076923076,1.0,1.4615384615384615,1.3560769230769232,1.6196923076923078,1.3753076923076923,1.1234615384615385,2.096230769230769,1.274572628972769,0.15708095134608988,0.0,100.0,0.0140662591240035,0.2471264726100955,100.0,0.9518423118210249,0
Switzerland,2014.0,8172232.230769231,206.83317737696547,73.70592307692309,26.294076923076922,100.0,22.700000000000003,100.0,41.67922307692307,0.32798094846153847,1.8538461538461537,1.3624615384615384,2.0916153846153844,1.6399230769230768,2.0,1.0,1.2307692307692308,1.0,1.0,1.2692307692307692,1.3951538461538462,1.250923076923077,1.0,1.0,1.3441538461538463,1.4096153846153845,1.1344615384615384,1.1162307692307691,5.0,1.0,1.0,1.1615384615384614,1.0,1.3976153846153847,1.321076923076923,1.5124615384615383,1.3376153846153847,1.0147692307692309,2.053769230769231,0.6741880283159536,0.0014544699506323848,0.001176847111984977,100.0,0.0002454222398691413,0.20058042192560524,100.0,0.3280584693709765,0
United Kingdom,2014.0,64592600.15384615,266.98879904867596,82.35169230769232,17.648307692307693,100.0,6.769230769230769,100.0,429.6240538461538,0.33430647076923076,2.273076923076923,1.5612307692307692,2.234153846153846,2.003,2.0,1.0769230769230769,2.8653846153846154,1.6538461538461537,1.25,1.3461538461538463,1.4936923076923077,2.5685384615384614,1.0215384615384615,1.0202307692307693,2.124923076923077,1.3886923076923077,1.2965384615384616,5.0,3.334,1.0,1.0,2.326923076923077,1.4356923076923078,1.7852307692307692,1.6528461538461536,1.9839999999999998,1.7796153846153844,1.2314615384615384,2.5653076923076927,0.6367148385069257,0.6096142888224152,0.0,100.0,0.5994137826154522,0.5071940897858777,100.0,2.8695367977835704,0
Uruguay,2014.0,3355476.230769231,19.17195880910314,94.88184615384615,5.118153846153847,99.55384615384615,54.61538461538461,100.0,7.203276923076923,0.4127250653846154,3.473076923076923,3.3726153846153846,4.208615384615384,3.2299230769230767,3.0,1.0,1.1346153846153846,2.0,1.2980769230769231,1.0,1.2831538461538463,1.1251538461538462,1.0,1.0,1.440076923076923,2.0951538461538464,2.0132307692307694,1.0332307692307692,1.0,1.0011538461538463,1.2307692307692308,1.0,1.0,1.6656153846153845,1.9596923076923076,1.2246923076923077,2.1493846153846152,1.0463846153846155,1.6918461538461538,7.1777313447247115,0.0556170176507909,0.0,99.55384615384615,0.014771763695518116,0.4905984366792734,100.0,0.7534880357752788,0
Armenia,2014.0,3011923.076923077,105.7928723892897,63.263615384615385,36.736384615384615,99.67692307692307,9.107692307692307,96.98461538461538,5.411507692307692,0.30487510692307696,1.8423076923076922,2.1206923076923077,2.5,2.039615384615385,3.4615384615384617,2.0,1.2307692307692308,2.5,3.201923076923077,2.6923076923076925,1.5739230769230768,1.035923076923077,1.1015384615384616,1.0769230769230769,2.923769230769231,3.268692307692308,1.504076923076923,1.0342307692307693,1.0113846153846153,1.1544615384615384,4.846153846153846,1.6730769230769231,1.0,2.083230769230769,2.0766923076923076,2.093,2.1056153846153847,2.0656923076923075,2.0626153846153845,16.518850955535708,0.7647853325376099,0.27238334768116307,99.67692307692307,1.5423466013565048e-09,1.5763472554151776,96.98461538461538,1.3012905549556462,1
Belarus,2014.0,9457272.923076924,46.600443110046086,76.64961538461537,23.350384615384616,96.80000000000001,7.261538461538462,99.22307692307693,62.08717692307692,0.2636911961538461,2.6423076923076922,2.6203076923076924,2.688923076923077,3.904153846153846,3.0,3.0,1.9423076923076923,2.0,3.076923076923077,2.6538461538461537,1.4611538461538462,1.9549999999999998,1.0,1.0,1.4806153846153847,1.9139230769230768,1.5453846153846154,1.4140000000000001,2.5703846153846155,1.0163076923076924,3.0,1.0,1.0,2.111076923076923,2.382923076923077,1.7035384615384617,2.4386153846153844,1.805,1.9856153846153846,7.472336136960456,0.592953585310956,0.0,96.80000000000001,0.592953585310956,3.3655368018683447,99.22307692307693,2.595351149040312,1
Bolivia,2014.0,10844698.076923076,10.01079855711537,67.95507692307692,32.04492307692308,90.60769230769232,16.546153846153846,80.77307692307691,18.177015384615384,0.4629174692307692,3.773076923076923,2.852307692307692,2.6601538461538463,1.9945384615384614,4.0,2.3846153846153846,1.9038461538461537,3.0,3.0096153846153846,2.0,1.0667692307692307,1.0951538461538461,1.0,1.0,1.6103846153846153,1.5943846153846155,3.5185384615384616,1.0227692307692307,1.0,1.0017692307692307,2.0,1.0615384615384615,1.0,1.969923076923077,2.318076923076923,1.4476923076923076,2.371923076923077,1.485846153846154,1.9793846153846153,10.921459985864285,5.2560935078566455,0.0,90.60769230769232,3.6519369082852147,2.2566906353767324,80.77307692307691,4.00132017164565,1
